[[ 1.10390587  1.15273666]
 [ 1.08745937  1.13475016]
 [ 1.13874573  1.25337763]
 [ 1.11401859  1.13301927]
 [ 1.11923298  1.18599162]
 [ 1.24589423  1.26095012]
 [ 1.13145037  1.14153213]
 [ 1.1059993   1.20292515]
 [ 1.11389629  1.16112224]
 [ 1.10431741  1.12292132]
 [ 1.16000568  1.22295977]
 [ 1.05109978  1.0610839 ]
 [ 1.01722859  1.22676304]
 [ 1.11271385  1.17738343]
 [ 1.15348273  1.1868702 ]
 [ 1.06652739  1.14759918]
 [ 1.13656127  1.14930816]
 [ 1.1624189   1.16283627]
 [ 1.09772631  1.24209604]
 [ 1.10979014  1.16150073]
 [ 1.16612247  1.25909717]
 [ 1.11028686  1.14745094]
 [ 1.10081107  1.16829537]
 [ 1.13487491  1.18303933]
 [ 1.20012459  1.21262546]
 [ 1.06181872  1.19350702]
 [ 1.21588575  1.25433281]
 [ 1.09179804  1.13749043]
 [ 1.05926354  1.20244921]
 [ 1.14203626  1.14749778]
 [ 1.14038363  1.22316337]
 [ 1.12225948  1.18404934]
 [ 1.08781828  1.15196606]
 [ 1.10061067  1.22279599]
 [ 1.08976566  1.10928983]
 [ 1.15829942  1.1609593 ]
 [ 1.17154599  1.22317716]
 [ 1.14776868  1.15963409]
 [ 1.16494475  1.17803025]
 [ 1.1087988   1.16235792]
 [ 1.21507461  1.25748767]
 [ 1.11707791  1.21212757]
 [ 1.08746995  1.13148292]
 [ 1.06438276  1.16233428]
 [ 1.12941411  1.14363028]
 [ 1.10764326  1.18829215]
 [ 1.07132823  1.13108422]
 [ 1.14024714  1.14133447]
 [ 1.10593434  1.11206717]
 [ 1.13107142  1.18816073]
 [ 1.1945329   1.25276393]
 [ 1.15231523  1.17480535]
 [ 1.14117795  1.20681602]
 [ 1.11271193  1.17660394]
 [ 1.07680659  1.22815816]
 [ 1.10680634  1.13246687]
 [ 1.1633269   1.22106386]
 [ 1.17482804  1.20395316]
 [ 1.16844086  1.20204737]
 [ 1.10541421  1.10910127]
 [ 1.08200611  1.15358872]
 [ 1.10324995  1.10787103]
 [ 1.16615092  1.23575461]
 [ 1.09958609  1.21891846]
 [ 1.10401473  1.10885877]
 [ 1.10906873  1.13523633]
 [ 1.13047204  1.24263297]
 [ 1.09245156  1.14951784]
 [ 1.06463916  1.17217299]
 [ 1.15311803  1.21762808]
 [ 1.06608785  1.22989596]
 [ 1.1176543   1.17135347]
 [ 1.16337698  1.20263236]
 [ 1.03640448  1.0788429 ]
 [ 1.17293259  1.19997031]
 [ 1.18465728  1.18734787]
 [ 1.19411767  1.22705208]
 [ 1.05601555  1.14418998]
 [ 1.11966287  1.18595719]
 [ 1.10268687  1.1105311 ]
 [ 1.08051756  1.10388973]
 [ 1.14257347  1.20996522]
 [ 1.10635946  1.22100337]
 [ 1.13854962  1.20753255]
 [ 1.1623992   1.17151108]
 [ 1.12603391  1.18933185]
 [ 1.09059028  1.19131863]
 [ 1.13120507  1.19211255]
 [ 1.11091837  1.14968077]
 [ 1.183025    1.22917797]
 [ 1.10114805  1.16036882]
 [ 1.15998781  1.17092996]
 [ 1.10816541  1.21057317]
 [ 1.13267494  1.14336854]
 [ 1.13589762  1.13764586]
 [ 1.19424264  1.24193527]
 [ 1.04465987  1.24579993]
 [ 1.14815391  1.17101661]
 [ 1.1081883   1.13183235]]
