[[ 0.08692254  2.20781175]
 [ 0.08692254  2.30547331]
 [ 0.112451    2.26950032]
 [ 0.112451    2.17491875]
 [ 0.17755679  2.27749146]
 [ 0.17755679  2.50675526]
 [ 0.10792901  2.26603853]
 [ 0.10792901  2.22803718]
 [ 0.10463041  2.23846596]
 [ 0.10463041  2.37198325]
 [ 0.04835796  2.52190023]
 [ 0.04835796  2.49178846]
 [ 0.03431758  2.26290074]
 [ 0.03431758  2.28306426]
 [ 0.1718066   2.40585031]
 [ 0.1718066   2.21199861]
 [ 0.16849789  2.32224448]
 [ 0.16849789  2.22779258]
 [ 0.05542252  2.24584263]
 [ 0.05542252  2.20863482]
 [ 0.32277709  2.44591954]
 [ 0.32277709  2.32001135]
 [ 0.08657161  2.10219955]
 [ 0.08657161  2.1221678 ]
 [ 0.27516129  2.03445718]
 [ 0.27516129  2.45352607]
 [ 0.20864814  2.35476687]
 [ 0.20864814  2.22542771]
 [ 0.11592437  2.30696547]
 [ 0.11592437  2.37374039]
 [ 0.16826168  2.29519836]
 [ 0.16826168  2.13305478]
 [ 0.1361533   2.27312253]
 [ 0.1361533   2.29861631]
 [ 0.08201605  2.3248378 ]
 [ 0.08201605  2.32567254]
 [ 0.14829354  2.48419208]
 [ 0.14829354  2.19545263]
 [ 0.14526444  2.21958027]
 [ 0.14526444  2.32300146]
 [ 0.13569661  2.51819434]
 [ 0.13569661  2.33224494]
 [ 0.12242454  2.29490188]
 [ 0.12242454  2.22057372]
 [ 0.10711058  2.20162214]
 [ 0.10711058  2.33659073]
 [ 0.05282864  2.36607865]
 [ 0.05282864  2.26974982]
 [ 0.01478498  2.40024917]
 [ 0.01478498  2.42525092]
 [ 0.13783946  2.12363743]
 [ 0.13783946  2.38701403]
 [ 0.41791961  2.50866561]
 [ 0.41791961  2.4317715 ]
 [ 0.1063117   2.18359609]
 [ 0.1063117   2.27498087]
 [ 0.20052408  2.40489842]
 [ 0.20052408  2.11852709]
 [ 0.27806758  2.28407252]
 [ 0.27806758  2.29499555]
 [ 0.13260158  2.28076726]
 [ 0.13260158  2.44632675]
 [ 0.09788696  2.24451895]
 [ 0.09788696  2.36809868]
 [ 0.14308873  2.17563656]
 [ 0.14308873  2.30393212]
 [ 0.15774474  2.20122134]
 [ 0.15774474  2.44559198]
 [ 0.09958551  2.21857965]
 [ 0.09958551  2.17953132]
 [ 0.00969838  2.31659885]
 [ 0.00969838  2.32191859]
 [ 0.21748905  2.44635431]
 [ 0.21748905  2.34309197]
 [ 0.09799905  2.29553735]
 [ 0.09799905  2.31926818]
 [ 0.03267904  2.35606051]
 [ 0.03267904  2.3298895 ]
 [ 0.0604787   2.21759761]
 [ 0.0604787   2.32471584]
 [ 0.04646644  2.43014923]
 [ 0.04646644  2.51497533]
 [ 0.09710413  2.23415582]
 [ 0.09710413  2.42425513]
 [ 0.10068457  2.26296585]
 [ 0.10068457  2.17493991]
 [ 0.10257569  2.32466857]
 [ 0.10257569  2.12876552]
 [ 0.07956053  2.25882822]
 [ 0.07956053  2.28726056]
 [ 0.10733487  2.21528652]
 [ 0.10733487  2.37658431]
 [ 0.06060226  2.26216843]
 [ 0.06060226  2.14265646]
 [ 0.09321353  2.28049427]
 [ 0.09321353  2.28266894]
 [ 0.09570861  2.21186869]
 [ 0.09570861  2.22413433]
 [ 0.05732894  2.26214285]
 [ 0.05732894  2.37632145]
 [ 0.2019151   2.50552786]
 [ 0.2019151   2.38906581]
 [ 0.14497011  2.3496107 ]
 [ 0.14497011  2.30463046]
 [ 0.06571251  2.41363205]
 [ 0.06571251  2.2823559 ]
 [ 0.12227564  2.22542386]
 [ 0.12227564  2.35320788]
 [ 0.1538657   2.15361319]
 [ 0.1538657   2.45631632]
 [ 0.14432083  2.26493375]
 [ 0.14432083  2.21361268]
 [ 0.06326925  2.32665379]
 [ 0.06326925  2.44212773]
 [ 0.15132009  2.34965607]
 [ 0.15132009  2.40790632]
 [ 0.15370132  2.40409474]
 [ 0.15370132  2.33688171]
 [ 0.09047054  2.21082842]
 [ 0.09047054  2.21820255]
 [ 0.14703658  2.30717743]
 [ 0.14703658  2.16401222]
 [ 0.22533071  2.21574206]
 [ 0.22533071  2.2064999 ]
 [ 0.07006183  2.33230183]
 [ 0.07006183  2.47150921]
 [ 0.13514731  2.19917218]
 [ 0.13514731  2.43783691]
 [ 0.08029807  2.21771754]
 [ 0.08029807  2.20802947]
 [ 0.03759669  2.27047266]
 [ 0.03759669  2.21813746]
 [ 0.11855932  2.48526594]
 [ 0.11855932  2.26094408]
 [ 0.05882513  2.18490313]
